#S data
#N 4
#L f1  f2  size_at_f2  size_at_sample
30.224  7.55035  131.461  6.93472 
30.322  7.55606  131.569  6.92918 
30.42  7.56107  131.692  6.92312 
30.518  7.56233  131.83  6.91681 
30.616  7.5657  131.981  6.90959 
30.714  7.57308  132.147  6.90121 
30.812  7.57468  132.326  6.89284 
30.91  7.58025  132.518  6.88349 
31.008  7.58296  132.722  6.87381 
31.106  7.58656  132.94  6.8635 
31.204  7.58911  133.169  6.85276 
31.302  7.59374  133.411  6.84127 
31.4  7.59406  133.664  6.82983 
31.498  7.59644  133.928  6.8177 
31.596  7.60292  134.203  6.80434 
31.694  7.60498  134.489  6.79125 
31.792  7.60915  134.786  6.77745 
31.89  7.61211  135.092  6.76341 
31.988  7.61382  135.409  6.74915 
32.086  7.61768  135.735  6.73421 
32.184  7.62241  136.07  6.71889 
32.282  7.62375  136.414  6.70354 
32.38  7.62594  136.767  6.68783 
32.478  7.63035  137.129  6.67158 
32.576  7.62995  137.499  6.65564 
32.674  7.63534  137.876  6.63863 
32.772  7.6381  138.262  6.62175 
32.87  7.63732  138.655  6.60514 
32.968  7.6411  139.056  6.58758 
33.066  7.6436  139.463  6.57007 
33.164  7.64481  139.877  6.55258 
33.262  7.64843  140.298  6.53449 
33.36  7.65079  140.726  6.51646 
33.458  7.65187  141.159  6.49847 
33.556  7.65402  141.599  6.48017 
33.654  7.65491  142.044  6.462 
33.752  7.65838  142.495  6.44319 
33.85  7.66063  142.951  6.42453 
33.948  7.66166  143.413  6.40598 
34.046  7.66537  143.879  6.38694 
34.144  7.6664  144.351  6.36819 
34.242  7.66776  144.827  6.34935 
34.34  7.67038  145.307  6.33028 
34.438  7.67187  145.792  6.31132 
34.536  7.67221  146.281  6.29249 
34.634  7.67296  146.774  6.27362 
34.732  7.6751  147.271  6.25445 
34.83  7.67866  147.771  6.23514 
34.928  7.67865  148.275  6.21625 
35.026  7.68011  148.783  6.1972 
35.124  7.6821  149.293  6.1781 
35.222  7.6815  149.807  6.1594 
35.32  7.68404  150.324  6.14021 
35.418  7.68561  150.843  6.12122 
35.516  7.68622  151.366  6.1024 
35.614  7.68587  151.891  6.08383 
35.712  7.68881  152.418  6.06469 
35.81  7.69085  152.948  6.04584 
35.908  7.69038  153.48  6.02732 
36.006  7.69066  154.014  6.00881 
36.104  7.69272  154.55  5.99006 
36.202  7.69395  155.088  5.97153 
36.3  7.69171  155.628  5.95377 
36.398  7.69562  156.17  5.93477 
36.496  7.6961  156.713  5.91655 
36.594  7.69684  157.258  5.89838 
36.692  7.6958  157.804  5.88065 
36.79  7.69672  158.352  5.8626 
36.888  7.69962  158.9  5.84428 
36.986  7.69913  159.45  5.82663 
37.084  7.70067  160.001  5.80876 
37.182  7.70051  160.554  5.79125 
37.28  7.70074  161.107  5.77379 
37.378  7.70203  161.66  5.75622 
37.476  7.70101  162.215  5.73923 
37.574  7.70382  162.77  5.72156 
37.672  7.70331  163.326  5.70459 
37.77  7.70497  163.883  5.68739 
37.868  7.70333  164.44  5.67087 
37.966  7.7039  164.998  5.65404 
38.064  7.70394  165.556  5.63745 
38.162  7.70623  166.114  5.62046 
38.26  7.70526  166.672  5.60426 
38.358  7.70551  167.231  5.58792 
38.456  7.70635  167.79  5.57155 
38.554  7.70566  168.349  5.55568 
38.652  7.70731  168.908  5.53932 
38.75  7.70681  169.467  5.52359 
38.848  7.7076  170.026  5.50766 
38.946  7.70798  170.585  5.49195 
39.044  7.70796  171.144  5.47644 
39.142  7.71035  171.703  5.4606 
39.24  7.70956  172.261  5.44538 
39.338  7.7084  172.819  5.43045 
39.436  7.70968  173.377  5.41507 
39.534  7.71062  173.934  5.39993 
39.632  7.70841  174.492  5.38559 
39.73  7.70868  175.048  5.37077 
39.828  7.71037  175.604  5.35569 
39.926  7.71001  176.16  5.34124 
40.024  7.71109  176.715  5.32659 
40.122  7.71014  177.27  5.31248 
40.22  7.70891  177.824  5.29868 
40.318  7.71196  178.378  5.28381 
40.416  7.71018  178.931  5.2702 
40.514  7.70988  179.483  5.25642 
40.612  7.71215  180.034  5.2421 
40.71  7.70961  180.585  5.22909 
40.808  7.71141  181.135  5.215 
40.906  7.71015  181.684  5.2019 
41.004  7.71149  182.233  5.18817 
41.102  7.71261  182.78  5.17471 
41.2  7.70896  183.327  5.16265 
41.298  7.70967  183.873  5.14931 
41.396  7.71018  184.418  5.13618 
41.494  7.71051  184.962  5.12323 
41.592  7.71064  185.505  5.11045 
41.69  7.7106  186.047  5.09783 
41.788  7.71039  186.589  5.08537 
41.886  7.71  187.129  5.07307 
41.984  7.70946  187.668  5.06095 
42.082  7.71332  188.206  5.04771 
42.18  7.71247  188.744  5.03567 
42.278  7.71146  189.28  5.02382 
42.376  7.71031  189.815  5.01221 
42.474  7.71185  190.349  4.99992 
42.572  7.71043  190.882  4.98854 
42.67  7.70888  191.414  4.97751 
42.768  7.71177  191.945  4.96493 
42.866  7.70997  192.474  4.95396 
42.964  7.71087  193.003  4.94226 
43.062  7.71059  193.53  4.93104 
43.16  7.71127  194.056  4.91964 
43.258  7.70903  194.581  4.90926 
43.356  7.71124  195.105  4.89749 
43.454  7.71161  195.628  4.88647 
43.552  7.71081  196.15  4.87578 
43.65  7.71099  196.67  4.86496 
43.748  7.70827  197.189  4.85522 
43.846  7.71001  197.707  4.84391 
43.944  7.70993  198.223  4.83341 
44.042  7.71151  198.739  4.82264 
44.14  7.70847  199.253  4.81313 
44.238  7.70989  199.766  4.80234 
44.336  7.70951  200.278  4.79225 
44.434  7.71079  200.788  4.78185 
44.532  7.71027  201.297  4.77192 
44.63  7.70861  201.805  4.76242 
44.728  7.70796  202.312  4.75279 
44.826  7.70899  202.817  4.7426 
44.924  7.70822  203.321  4.73313 
45.022  7.70913  203.824  4.72319 
45.12  7.70826  204.325  4.71387 
45.218  7.70906  204.825  4.70414 
45.316  7.70981  205.324  4.69459 
45.414  7.70879  205.822  4.68544 
45.512  7.70945  206.318  4.67605 
45.61  7.70833  206.813  4.66707 
45.708  7.7089  207.306  4.65782 
45.806  7.70943  207.799  4.6487 
45.904  7.7082  208.29  4.63992 
46.002  7.70587  208.78  4.63182 
46.1  7.70907  209.268  4.62204 
46.198  7.70774  209.755  4.61348 
46.296  7.70809  210.241  4.6047 
46.394  7.70669  210.725  4.5964 
46.492  7.70698  211.208  4.58772 
46.59  7.70723  211.69  4.57914 
46.688  7.70575  212.17  4.57113 
46.786  7.70596  212.65  4.56265 
46.884  7.70614  213.127  4.55425 
46.982  7.70459  213.604  4.54658 
47.08  7.70473  214.079  4.53828 
47.178  7.70484  214.553  4.53007 
47.276  7.70323  215.025  4.52277 
47.374  7.70607  215.497  4.51358 
