#S data
#N 4
#L f1  f2  size_at_f2  size_at_sample
32.772  25.5693  121.41  27.2952 
32.87  25.6015  121.869  27.1947 
32.968  25.6183  122.332  27.0945 
33.066  25.649  122.798  26.9939 
33.164  25.6705  123.268  26.8935 
33.262  25.6902  123.742  26.7932 
33.36  25.7107  124.219  26.6929 
33.458  25.7422  124.699  26.5925 
33.556  25.7623  125.182  26.4925 
33.654  25.7836  125.668  26.3926 
33.752  25.8037  126.157  26.293 
33.85  25.8149  126.648  26.1938 
33.948  25.8315  127.142  26.0948 
34.046  25.8602  127.638  25.9958 
34.144  25.8779  128.136  25.8973 
34.242  25.8869  128.637  25.7994 
34.34  25.9125  129.139  25.7016 
34.438  25.9232  129.643  25.6044 
34.536  25.9402  130.149  25.5075 
34.634  25.9529  130.657  25.4112 
34.732  25.9615  131.166  25.3154 
34.83  25.9728  131.676  25.22 
34.928  25.9842  132.188  25.1251 
35.026  25.9986  132.701  25.0306 
35.124  26.0091  133.216  24.9368 
35.222  26.0161  133.731  24.8435 
35.32  26.0372  134.248  24.7505 
35.418  26.037  134.765  24.6585 
35.516  26.0445  135.283  24.5669 
35.614  26.0555  135.802  24.4757 
35.712  26.0745  136.321  24.385 
35.81  26.0723  136.842  24.2953 
35.908  26.0851  137.362  24.2059 
36.006  26.1019  137.883  24.117 
36.104  26.1089  138.405  24.0289 
36.202  26.1131  138.927  23.9415 
36.3  26.1146  139.449  23.8547 
36.398  26.1134  139.971  23.7687 
36.496  26.128  140.494  23.6829 
36.594  26.1217  141.016  23.5983 
36.692  26.1313  141.539  23.5138 
36.79  26.1387  142.062  23.43 
36.888  26.1437  142.584  23.3469 
36.986  26.1579  143.107  23.2643 
37.084  26.1516  143.629  23.1827 
37.182  26.1502  144.151  23.1017 
37.28  26.1653  144.673  23.0208 
37.378  26.1599  145.194  22.9411 
37.476  26.1641  145.716  22.8618 
37.574  26.1664  146.236  22.7832 
37.672  26.1741  146.757  22.7051 
37.77  26.1729  147.277  22.6278 
37.868  26.1772  147.796  22.551 
37.966  26.1728  148.315  22.475 
38.064  26.1854  148.833  22.3992 
38.162  26.1779  149.351  22.3246 
38.26  26.1761  149.868  22.2504 
38.358  26.1843  150.385  22.1765 
38.456  26.1841  150.9  22.1035 
38.554  26.1897  151.415  22.031 
38.652  26.1824  151.93  21.9593 
38.75  26.1855  152.443  21.888 
38.848  26.1874  152.956  21.8173 
38.946  26.1881  153.468  21.7473 
39.044  26.1877  153.979  21.6778 
39.142  26.1863  154.489  21.609 
39.24  26.1838  154.999  21.5408 
39.338  26.1803  155.507  21.4732 
39.436  26.1874  156.015  21.4058 
39.534  26.182  156.521  21.3394 
39.632  26.1828  157.027  21.2733 
39.73  26.1757  157.531  21.2081 
39.828  26.1792  158.035  21.143 
39.926  26.1705  158.537  21.079 
40.024  26.1795  159.039  21.0148 
40.122  26.1807  159.539  20.9515 
40.22  26.1768  160.039  20.8888 
40.318  26.1766  160.537  20.8266 
40.416  26.1642  161.034  20.7654 
40.514  26.1698  161.53  20.7039 
40.612  26.1677  162.025  20.6433 
40.71  26.1721  162.519  20.5831 
40.808  26.1687  163.012  20.5235 
40.906  26.1605  163.503  20.4647 
41.004  26.1561  163.994  20.4062 
41.102  26.1583  164.483  20.3479 
41.2  26.153  164.971  20.2905 
41.298  26.1542  165.458  20.2332 
41.396  26.155  165.943  20.1765 
41.494  26.1482  166.428  20.1205 
41.592  26.1482  166.911  20.0648 
41.69  26.1477  167.393  20.0095 
41.788  26.1398  167.873  19.955 
41.886  26.1386  168.353  19.9006 
41.984  26.13  168.831  19.8471 
42.082  26.1394  169.308  19.7933 
42.18  26.1372  169.784  19.7403 
42.278  26.1347  170.258  19.6878 
42.376  26.1248  170.731  19.636 
42.474  26.1217  171.203  19.5844 
42.572  26.1183  171.673  19.5333 
42.67  26.126  172.143  19.4822 
42.768  26.1152  172.611  19.4321 
42.866  26.1111  173.077  19.3822 
42.964  26.1068  173.543  19.3328 
43.062  26.1135  174.007  19.2834 
43.16  26.1018  174.47  19.235 
43.258  26.0969  174.931  19.1868 
43.356  26.1031  175.391  19.1385 
43.454  26.0978  175.85  19.0911 
43.552  26.0924  176.308  19.0441 
43.65  26.0799  176.764  18.9978 
43.748  26.0855  177.219  18.951 
43.846  26.0796  177.672  18.9052 
43.944  26.0848  178.125  18.8593 
44.042  26.0788  178.576  18.8141 
44.14  26.0726  179.025  18.7694 
44.238  26.0775  179.474  18.7246 
44.336  26.0642  179.921  18.6808 
44.434  26.0577  180.366  18.6372 
44.532  26.0623  180.811  18.5934 
44.63  26.0557  181.254  18.5504 
44.728  26.049  181.695  18.5079 
44.826  26.0533  182.136  18.4651 
44.924  26.0465  182.575  18.4232 
45.022  26.0507  183.013  18.3812 
45.12  26.037  183.449  18.3402 
45.218  26.0411  183.884  18.2988 
45.316  26.0341  184.318  18.2581 
45.414  26.0271  184.75  18.2179 
45.512  26.031  185.182  18.1774 
45.61  26.024  185.611  18.1377 
45.708  26.0279  186.04  18.098 
45.806  26.0208  186.467  18.0589 
45.904  26.0069  186.893  18.0206 
46.002  26.0107  187.318  17.9815 
46.1  26.0036  187.741  17.9435 
46.198  26.0074  188.163  17.9051 
46.296  26.0003  188.584  17.8676 
46.394  26.0041  189.003  17.8299 
46.492  25.997  189.421  17.7928 
46.59  25.9832  189.838  17.7566 
46.688  25.987  190.253  17.7196 
46.786  25.9799  190.668  17.6835 
46.884  25.9838  191.081  17.6471 
46.982  25.9768  191.492  17.6115 
47.08  25.9698  191.903  17.5762 
47.178  25.9737  192.312  17.5406 
47.276  25.9668  192.72  17.5058 
47.374  25.9707  193.126  17.4708 
47.472  25.9572  193.531  17.4369 
47.57  25.9612  193.935  17.4023 
47.668  25.9544  194.338  17.3685 
47.766  25.9477  194.74  17.3351 
47.864  25.9517  195.14  17.3013 
47.962  25.9451  195.539  17.2682 
48.06  25.9492  195.936  17.235 
48.158  25.936  196.333  17.2027 
48.256  25.9296  196.728  17.1705 
