#S data
#N 4
#L f1  f2  size_at_f2  size_at_sample
27.676  7.26591  444.143  2.66345 
27.774  7.26216  439.936  2.67607 
27.872  7.26082  435.756  2.68614 
27.97  7.25644  431.603  2.70015 
28.068  7.25613  427.477  2.70927 
28.166  7.25381  423.376  2.72117 
28.264  7.24848  419.302  2.73651 
28.362  7.24816  415.254  2.74609 
28.46  7.24218  411.231  2.76358 
28.558  7.2428  407.234  2.7717 
28.656  7.2399  403.262  2.78496 
28.754  7.23663  399.314  2.79874 
28.852  7.23241  395.392  2.8141 
28.95  7.23115  391.494  2.82615 
29.048  7.22479  387.62  2.84582 
29.146  7.22501  383.77  2.85503 
29.244  7.22141  379.944  2.8704 
29.342  7.219  376.142  2.88476 
29.44  7.2162  372.363  2.89983 
29.538  7.213  368.608  2.91548 
29.636  7.2094  364.875  2.93177 
29.734  7.20539  361.165  2.94894 
29.832  7.20097  357.478  2.96735 
29.93  7.20017  353.814  2.98082 
30.028  7.19739  350.171  2.99758 
30.126  7.1917  346.551  3.01754 
30.224  7.18957  342.953  3.03369 
30.322  7.18547  339.376  3.0526 
30.42  7.18242  335.821  3.07056 
30.518  7.17741  332.287  3.09145 
30.616  7.17584  328.775  3.1081 
30.714  7.17138  325.284  3.12856 
30.812  7.16884  321.813  3.14746 
30.91  7.16579  318.363  3.16744 
31.008  7.15987  314.934  3.19011 
31.106  7.15582  311.525  3.21159 
31.204  7.15271  308.136  3.23232 
31.302  7.14995  304.767  3.25343 
31.4  7.14434  301.418  3.27739 
31.498  7.14193  298.089  3.29895 
31.596  7.13525  294.78  3.32501 
31.694  7.13173  291.49  3.34808 
31.792  7.12764  288.22  3.37235 
31.89  7.12523  284.968  3.39575 
31.988  7.11998  281.736  3.42183 
32.086  7.11637  278.522  3.44732 
32.184  7.1113  275.328  3.47425 
32.282  7.10647  272.152  3.50158 
32.38  7.10103  268.994  3.53001 
32.478  7.09631  265.855  3.55833 
32.576  7.09311  262.734  3.58607 
32.674  7.08925  259.631  3.61526 
32.772  7.08125  256.546  3.64748 
32.87  7.07605  253.48  3.67853 
32.968  7.07359  250.431  3.7081 
33.066  7.06701  247.399  3.74117 
33.164  7.06183  244.385  3.77408 
33.262  7.05721  241.389  3.80733 
33.36  7.05185  238.41  3.84176 
33.458  7.0478  235.448  3.87651 
33.556  7.04094  232.504  3.91297 
33.654  7.03535  229.576  3.9498 
33.752  7.02898  226.666  3.98781 
33.85  7.02506  223.772  4.02577 
33.948  7.01513  220.895  4.06739 
34.046  7.01154  218.035  4.10612 
34.144  7.00513  215.191  4.14761 
34.242  6.99789  212.364  4.1905 
34.34  6.98981  209.554  4.23519 
34.438  6.98588  206.759  4.27785 
34.536  6.98102  203.981  4.32288 
34.634  6.97337  201.22  4.3697 
34.732  6.96668  198.474  4.41745 
34.83  6.95907  195.745  4.4666 
34.928  6.95052  193.031  4.51745 
35.026  6.944  190.334  4.56853 
35.124  6.9383  187.653  4.62076 
35.222  6.9298  184.987  4.67512 
35.32  6.92211  182.337  4.73063 
35.418  6.91449  179.704  4.7875 
35.516  6.9076  177.086  4.84566 
35.614  6.89684  174.483  4.90655 
35.712  6.88786  171.897  4.96849 
35.81  6.8823  169.326  5.03044 
35.908  6.87391  166.771  5.09527 
36.006  6.86611  164.231  5.16173 
36.104  6.85719  161.707  5.23018 
36.202  6.84551  159.199  5.30129 
36.3  6.83702  156.707  5.37328 
36.398  6.829  154.23  5.44718 
36.496  6.8182  151.769  5.52392 
36.594  6.81042  149.324  5.60198 
36.692  6.80144  146.894  5.68265 
36.79  6.79127  144.481  5.76578 
36.888  6.77992  142.083  5.85149 
36.986  6.76988  139.701  5.93946 
37.084  6.76016  137.336  6.02999 
37.182  6.74775  134.986  6.1236 
37.28  6.73805  132.653  6.21952 
37.378  6.72716  130.336  6.31854 
37.476  6.71509  128.035  6.42073 
37.574  6.7033  125.751  6.52599 
37.672  6.69126  123.483  6.63453 
37.77  6.6795  121.233  6.74636 
37.868  6.66888  118.999  6.86153 
37.966  6.65494  116.783  6.98083 
38.064  6.64354  114.584  7.1035 
38.162  6.62978  112.403  7.23049 
38.26  6.61857  110.239  7.36113 
38.358  6.60643  108.094  7.49621 
38.456  6.59344  105.968  7.6358 
38.554  6.57969  103.86  7.78003 
38.652  6.5653  101.771  7.92913 
38.75  6.55238  99.7016  8.08299 
38.848  6.53824  97.6523  8.24214 
38.946  6.52455  95.6233  8.40655 
39.044  6.51189  93.6152  8.57635 
39.142  6.49802  91.6284  8.75202 
39.24  6.48552  89.6636  8.93346 
39.338  6.47223  87.7214  9.12111 
39.436  6.45583  85.8023  9.31542 
39.534  6.44714  83.9072  9.51544 
39.632  6.4318  82.0368  9.72272 
39.73  6.41923  80.1919  9.93666 
39.828  6.40754  78.3734  10.1576 
39.926  6.39647  76.5823  10.3856 
40.024  6.38547  74.8197  10.6209 
40.122  6.37336  73.0866  10.8636 
40.22  6.36541  71.3843  11.1134 
40.318  6.35668  69.714  11.3707 
40.416  6.35014  68.0773  11.6353 
40.514  6.3418  66.4756  11.9071 
40.612  6.33758  64.9104  12.1857 
40.71  6.33648  63.3835  12.4708 
40.808  6.33357  61.8969  12.7624 
40.906  6.3347  60.4523  13.0594 
41.004  6.34137  59.0518  13.3613 
41.102  6.34905  57.6977  13.6673 
41.2  6.36017  56.3923  13.9764 
41.298  6.37601  55.1379  14.2873 
41.396  6.39293  53.9371  14.5987 
41.494  6.41775  52.7924  14.9087 
41.592  6.44328  51.7064  15.2157 
41.69  6.4797  50.682  15.5173 
41.788  6.5184  49.7217  15.8114 
41.886  6.5635  48.8283  16.0955 
41.984  6.61864  48.0043  16.3667 
42.082  6.67826  47.2524  16.6226 
42.18  6.74459  46.5749  16.8603 
42.278  6.82027  45.974  17.0768 
42.376  6.90441  45.4516  17.2697 
42.474  6.99658  45.0093  17.4363 
42.572  7.0934  44.6484  17.5747 
42.67  7.19987  44.3699  17.6828 
42.768  7.30908  44.1742  17.7594 
42.866  7.42738  44.0613  17.8035 
42.964  7.55053  44.0308  17.8149 
43.062  7.67403  44.0818  17.7938 
43.16  7.79939  44.213  17.7408 
43.258  7.92785  44.4228  17.6573 
43.356  8.05405  44.709  17.545 
43.454  8.17827  45.0691  17.4059 
43.552  8.30077  45.5006  17.2422 
43.65  8.41766  46.0003  17.0566 
43.748  8.52549  46.5654  16.8518 
43.846  8.63052  47.1924  16.6303 
43.944  8.72649  47.8782  16.3949 
44.042  8.81513  48.6193  16.148 
44.14  8.89644  49.4126  15.892 
44.238  8.96761  50.2547  15.6293 
44.336  9.03252  51.1425  15.3617 
44.434  9.0873  52.0729  15.0913 
44.532  9.13302  53.043  14.8196 
44.63  9.17594  54.0498  14.5479 
44.728  9.2098  55.0908  14.2776 
44.826  9.23805  56.1633  14.0097 
44.924  9.25725  57.265  13.7451 
45.022  9.27191  58.3936  13.4845 
45.12  9.28377  59.5469  13.2285 
45.218  9.2911  60.7231  12.9776 
45.316  9.29563  61.9201  12.7321 
45.414  9.29283  63.1364  12.4925 
45.512  9.2911  64.3703  12.2586 
45.61  9.28377  65.6203  12.0308 
45.708  9.27644  66.885  11.8091 
45.806  9.26458  68.163  11.5936 
45.904  9.25272  69.4533  11.3842 
46.002  9.24085  70.7547  11.1808 
46.1  9.22619  72.0662  10.9834 
46.198  9.2098  73.3867  10.7919 
46.296  9.19513  74.7154  10.6061 
46.394  9.17594  76.0516  10.426 
46.492  9.15955  77.3943  10.2513 
46.59  9.14035  78.743  10.0821 
46.688  9.12116  80.0969  9.91798 
46.786  9.10197  81.4554  9.75893 
46.884  9.08277  82.818  9.60477 
46.982  9.06638  84.1841  9.45519 
47.08  9.04719  85.5532  9.3103 
47.178  9.02799  86.925  9.16983 
47.276  9.0088  88.2988  9.03363 
47.374  8.99413  89.6745  8.90133 
47.472  8.97494  91.0515  8.7732 
47.57  8.95575  92.4296  8.64891 
47.668  8.93935  93.8084  8.52819 
47.766  8.92016  95.1876  8.41119 
47.864  8.90377  96.567  8.29746 
47.962  8.8863  97.9462  8.18713 
48.06  8.86991  99.3252  8.07992 
48.158  8.85525  100.703  7.9757 
48.256  8.83885  102.081  7.87455 
48.354  8.82419  103.458  7.77618 
48.452  8.8078  104.833  7.68065 
48.55  8.79313  106.207  7.5877 
48.648  8.77674  107.579  7.49743 
48.746  8.76208  108.95  7.40953 
48.844  8.75022  110.319  7.32383 
48.942  8.73382  111.687  7.24074 
49.04  8.72196  113.052  7.15957 
49.138  8.7073  114.415  7.08075 
49.236  8.69544  115.775  7.00381 
49.334  8.68077  117.134  6.92908 
49.432  8.66891  118.489  6.85607 
49.53  8.65705  119.843  6.78494 
49.628  8.64519  121.193  6.71562 
49.726  8.63332  122.541  6.64804 
49.824  8.62146  123.886  6.58215 
49.922  8.61133  125.229  6.51778 
50.02  8.59947  126.568  6.45509 
50.118  8.5876  127.904  6.39396 
50.216  8.57574  129.238  6.33433 
50.314  8.56841  130.568  6.27571 
50.412  8.55655  131.895  6.21884 
50.51  8.54469  133.219  6.16341 
50.608  8.53735  134.54  6.10876 
50.706  8.52549  135.858  6.05588 
50.804  8.51816  137.172  6.00372 
50.902  8.5063  138.483  5.95328 
51  8.49897  139.791  5.90341 
51.098  8.4899  141.095  5.8549 
51.196  8.47977  142.396  5.80764 
51.294  8.47071  143.693  5.7613 
51.392  8.46338  144.987  5.71568 
51.49  8.45605  146.278  5.67108 
51.588  8.44872  147.565  5.62748 
51.686  8.43965  148.849  5.585 
51.784  8.43232  150.129  5.54322 
51.882  8.42499  151.405  5.50232 
51.98  8.41766  152.678  5.46228 
52.078  8.4086  153.948  5.42333 
52.176  8.40127  155.214  5.38494 
52.274  8.39394  156.476  5.34734 
52.372  8.3866  157.735  5.31053 
52.47  8.38207  158.99  5.27395 
